datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 10:17:00+05:30,53896.4,53864.0,53877.6,13.269469576016538,28.649991130037172,67.25355197458987,-15.380521554020634,-28.758722904981223,Sideways,-18.07,-15.44,-2.63,Sideways,53901.7975,53959.50250730804,53844.09249269196,115.41001461607812,Sideways
2025-09-01 10:18:00+05:30,53878.9,53859.6,53864.3,13.260060273001962,28.576493529518547,67.82403177439502,-15.316433256516586,-26.47013950570768,Sideways,-18.36,-16.02,-2.34,Sideways,53897.425,53952.380115656706,53842.4698843433,109.91023131340626,Sideways
2025-09-01 10:19:00+05:30,53864.75,53848.7,53848.7,13.687099725526608,30.375114364138067,67.8297574777359,-16.68801463861146,-25.218685152978278,Sideways,-19.62,-16.74,-2.88,Sideways,53892.277500000004,53945.09126888852,53839.463731111486,105.6275377770362,Sideways
2025-09-01 10:20:00+05:30,53855.65,53825.75,53830.4,13.054101221640996,33.43804537521917,66.33799397210962,-20.38394415357817,-24.467086659308066,weak Bearish,-21.85,-17.76,-4.09,Sideways,53886.5125,53939.94086694805,53833.08413305195,106.8567338961002,Bearish
2025-09-01 10:21:00+05:30,53839.4,53807.85,53814.05,12.286465177398286,36.97437582129007,65.27217523136578,-24.687910643891783,-24.560986590834084,Bearish,-24.65,-19.14,-5.51,Bearish,53880.594999999994,53938.64057102645,53822.549428973536,116.09114205291553,Bearish
2025-09-01 10:22:00+05:30,53812.8,53791.3,53797.7,12.61382799325482,36.08768971332121,62.896177470596186,-23.47386172006639,-23.47662870342275,weak Bearish,-27.86,-20.88,-6.98,Bearish,53873.7925,53937.24536916492,53810.339630835086,126.905738329835,Bearish
2025-09-01 10:23:00+05:30,53805.85,53793.65,53798.35,12.80864197530789,36.69410150891559,60.64955208331621,-23.885459533607698,-22.55928411842916,Bearish,-30.01,-22.71,-7.3,Bearish,53867.81,53936.09150400709,53799.528495992905,136.56300801418547,Bearish
2025-09-01 10:24:00+05:30,53802.85,53781.2,53792.6,12.529550827422431,40.341100979399535,59.135783594509675,-27.8115501519771,-21.903118114355635,Bearish,-31.81,-24.53,-7.28,Bearish,53861.33,53932.41881324384,53790.24118675616,142.17762648768257,Sideways
2025-09-01 10:25:00+05:30,53834.65,53794.1,53814.65,20.876369327074443,37.38654147104903,56.14640381571714,-16.510172143974586,-20.459763088471604,Sideways,-31.1,-25.85,-5.26,Bearish,53857.005000000005,53928.417765333856,53785.592234666154,142.82553066770197,Sideways
2025-09-01 10:26:00+05:30,53823.45,53811.45,53821.4,20.149968091895246,38.114231014678055,53.921270793130816,-17.964262922782808,-20.74684546277851,Sideways,-29.66,-26.61,-3.05,Sideways,53853.490000000005,53924.632315485425,53782.347684514585,142.28463097084023,Sideways
2025-09-01 10:27:00+05:30,53833.6,53812.45,53819.2,23.177865612648073,33.97628458498006,48.987935100521305,-10.798418972331984,-20.244843875646886,Sideways,-28.36,-26.96,-1.4,Sideways,53849.677500000005,53919.51233880215,53779.84266119786,139.66967760429543,Sideways
2025-09-01 10:28:00+05:30,53831.05,53818.55,53827.1,24.013104013103824,32.12121212121154,43.73550496804058,-8.108108108107718,-19.29152092781314,Sideways,-26.39,-26.84,0.46,Sideways,53846.8725,53915.534789312835,53778.21021068716,137.3245786256739,Sideways
2025-09-01 10:29:00+05:30,53834.8,53811.7,53823.3,23.303131457637527,29.248132252424785,38.24063025234863,-5.9450007947872585,-17.687193887947483,Sideways,-24.85,-26.44,1.6,Sideways,53843.457500000004,53909.497027836274,53777.417972163734,132.07905567254056,Sideways
2025-09-01 10:30:00+05:30,53825.3,53811.95,53818.0,21.809969349895177,29.682206807549445,33.80690969993533,-7.872237457654268,-15.818785756143313,Sideways,-23.78,-25.91,2.13,Sideways,53840.009999999995,53903.64476871544,53776.375231284546,127.26953743089689,Sideways
2025-09-01 10:31:00+05:30,53826.5,53797.25,53803.9,13.673402868318444,34.77835723598297,34.29748451700219,-21.10495436766453,-15.555573828098662,Bearish,-23.8,-25.49,1.69,Sideways,53835.7675,53896.98831066018,53774.546689339826,122.44162132035126,Sideways
2025-09-01 10:32:00+05:30,53809.05,53794.7,53795.7,13.897631273811669,34.73579592512712,34.74300179933168,-20.838164651315452,-15.216985507843967,Bearish,-24.19,-25.23,1.04,Sideways,53831.057499999995,53889.157842194785,53772.957157805205,116.20068438957969,Sideways
2025-09-01 10:33:00+05:30,53802.85,53781.6,53781.6,13.662269988601524,34.86402865982553,35.158539014685694,-21.201758671224006,-14.482564232204734,Bearish,-25.35,-25.25,-0.1,Sideways,53826.2675,53884.07638909059,53768.458610909416,115.61777818117116,Sideways
2025-09-01 10:34:00+05:30,53788.75,53775.5,53777.5,14.445592286501723,31.06060606060507,34.63480301989393,-16.615013774103346,-14.494213302219041,Sideways,-26.3,-25.46,-0.84,Sideways,53821.935,53880.76865578157,53763.10134421843,117.667311563142,Sideways
